days_history	metric_min	||	n_samples	mean_abs_error
3		256			1204		0.0702185867533234
3		512			778		0.059309551349096136
3		1024			360		0.0817119726084217

6		256			1019		0.03983073561072916
6		512			670		0.036452640734542865
6		1024			300		0.04573337552777688

7		256			970		0.037014544310784284
7		512			641		0.03471182279769112	***Selected model
7		1024			281		0.04059328859481013

9		256			889		0.032832026158723486
9		512			583		0.02666311730222215
9		1024			246		0.03168997336449467

12		256			785		0.024283516743352503
12		512			500		0.019208186297473433
12		1024			205		0.026139934055669778

15		256			686		0.018155615584549353
15		512			434		0.013214403011704743
15		1024			173		0.02064694911909902

18		256			604		0.01480982553995722
18		512			379		0.010620609936963062	
18		1024			147		0.019290320853569305

21		512			332		0.009403422909783573
